Experiment-number, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
83,99,65,23,141,0.811475409836066,0.603658536585366,0.692307692307692,0.731707317073171,0.270833333333333,0.140243902439024
84,116,48,29,135,0.8,0.707317073170732,0.750809061488673,0.765243902439024,0.191235059760956,0.176829268292683
85,117,47,40,124,0.745222929936306,0.713414634146341,0.728971962616822,0.734756097560976,0.195020746887967,0.24390243902439
86,123,41,42,122,0.745454545454545,0.75,0.747720364741641,0.746951219512195,0.16734693877551,0.25609756097561
87,120,44,37,127,0.764331210191083,0.731707317073171,0.747663551401869,0.753048780487805,0.178137651821862,0.225609756097561
88,112,52,33,131,0.772413793103448,0.682926829268293,0.724919093851133,0.740853658536585,0.213991769547325,0.201219512195122
89,116,48,38,126,0.753246753246753,0.707317073170732,0.729559748427673,0.73780487804878,0.198347107438017,0.231707317073171
90,119,45,51,113,0.7,0.725609756097561,0.712574850299401,0.707317073170732,0.193965517241379,0.310975609756098
91,111,53,33,131,0.770833333333333,0.676829268292683,0.720779220779221,0.73780487804878,0.21900826446281,0.201219512195122
92,105,59,33,131,0.760869565217391,0.640243902439024,0.695364238410596,0.719512195121951,0.25,0.201219512195122
93,92,72,20,144,0.821428571428571,0.560975609756098,0.666666666666667,0.719512195121951,0.305084745762712,0.121951219512195
94,120,44,37,127,0.764331210191083,0.731707317073171,0.747663551401869,0.753048780487805,0.178137651821862,0.225609756097561
95,118,46,32,132,0.786666666666667,0.719512195121951,0.751592356687898,0.76219512195122,0.184,0.195121951219512
96,105,59,49,115,0.681818181818182,0.640243902439024,0.660377358490566,0.670731707317073,0.268181818181818,0.298780487804878
97,100,64,19,145,0.840336134453782,0.609756097560976,0.706713780918728,0.746951219512195,0.261224489795918,0.115853658536585
98,117,47,43,121,0.73125,0.713414634146341,0.722222222222222,0.725609756097561,0.197478991596639,0.26219512195122
99,105,59,38,126,0.734265734265734,0.640243902439024,0.684039087947883,0.704268292682927,0.255411255411255,0.231707317073171
100,106,58,36,128,0.746478873239437,0.646341463414634,0.69281045751634,0.713414634146341,0.247863247863248,0.219512195121951
