Experiment-number, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
31,91,73,22,142,0.805309734513274,0.554878048780488,0.657039711191336,0.710365853658537,0.313304721030043,0.134146341463415
32,98,66,22,142,0.816666666666667,0.597560975609756,0.690140845070423,0.731707317073171,0.275,0.134146341463415
33,108,56,26,138,0.805970149253731,0.658536585365854,0.724832214765101,0.75,0.227642276422764,0.158536585365854
34,133,31,46,118,0.743016759776536,0.810975609756098,0.775510204081633,0.765243902439024,0.123505976095618,0.280487804878049
35,104,60,24,140,0.8125,0.634146341463415,0.712328767123288,0.74390243902439,0.245901639344262,0.146341463414634
36,101,63,33,131,0.753731343283582,0.615853658536585,0.677852348993289,0.707317073170732,0.271551724137931,0.201219512195122
37,124,40,39,125,0.760736196319018,0.75609756097561,0.758409785932722,0.759146341463415,0.160642570281124,0.23780487804878
38,97,67,18,146,0.843478260869565,0.591463414634146,0.695340501792115,0.740853658536585,0.275720164609054,0.109756097560976
39,88,76,17,147,0.838095238095238,0.536585365853659,0.654275092936803,0.716463414634146,0.323404255319149,0.103658536585366
40,105,59,32,132,0.766423357664234,0.640243902439024,0.697674418604651,0.722560975609756,0.248945147679325,0.195121951219512
41,110,54,33,131,0.769230769230769,0.670731707317073,0.716612377850163,0.734756097560976,0.224066390041494,0.201219512195122
42,107,57,31,133,0.77536231884058,0.652439024390244,0.708609271523179,0.731707317073171,0.2375,0.189024390243902
43,113,51,26,138,0.81294964028777,0.689024390243902,0.745874587458746,0.765243902439024,0.203187250996016,0.158536585365854
44,130,34,36,128,0.783132530120482,0.792682926829268,0.787878787878788,0.786585365853659,0.131782945736434,0.219512195121951
45,121,43,41,123,0.746913580246914,0.73780487804878,0.742331288343558,0.74390243902439,0.176229508196721,0.25
46,106,58,31,133,0.773722627737226,0.646341463414634,0.704318936877076,0.728658536585366,0.242677824267782,0.189024390243902
47,120,44,34,130,0.779220779220779,0.731707317073171,0.754716981132076,0.76219512195122,0.176,0.207317073170732
48,117,47,39,125,0.75,0.713414634146341,0.73125,0.73780487804878,0.194214876033058,0.23780487804878
49,100,64,19,145,0.840336134453782,0.609756097560976,0.706713780918728,0.746951219512195,0.261224489795918,0.115853658536585
50,102,62,36,128,0.739130434782609,0.621951219512195,0.675496688741722,0.701219512195122,0.269565217391304,0.219512195121951
51,113,51,35,129,0.763513513513513,0.689024390243902,0.724358974358974,0.73780487804878,0.210743801652893,0.213414634146341
52,113,51,37,127,0.753333333333333,0.689024390243902,0.719745222929936,0.731707317073171,0.2125,0.225609756097561
53,111,53,25,139,0.816176470588235,0.676829268292683,0.74,0.76219512195122,0.212,0.152439024390244
54,122,42,39,125,0.757763975155279,0.74390243902439,0.750769230769231,0.753048780487805,0.17004048582996,0.23780487804878
55,127,37,33,131,0.79375,0.774390243902439,0.783950617283951,0.786585365853659,0.143410852713178,0.201219512195122
56,116,48,30,134,0.794520547945205,0.707317073170732,0.748387096774194,0.76219512195122,0.192,0.182926829268293
57,115,49,34,130,0.771812080536913,0.701219512195122,0.73482428115016,0.746951219512195,0.2,0.207317073170732
58,119,45,37,127,0.762820512820513,0.725609756097561,0.74375,0.75,0.182926829268293,0.225609756097561
59,128,36,51,113,0.715083798882682,0.780487804878049,0.746355685131195,0.734756097560976,0.149377593360996,0.310975609756098
60,113,51,33,131,0.773972602739726,0.689024390243902,0.729032258064516,0.74390243902439,0.209016393442623,0.201219512195122
61,121,43,45,119,0.728915662650602,0.73780487804878,0.733333333333333,0.731707317073171,0.179166666666667,0.274390243902439
62,102,62,19,145,0.84297520661157,0.621951219512195,0.715789473684211,0.753048780487805,0.251012145748988,0.115853658536585
63,98,66,18,146,0.844827586206897,0.597560975609756,0.7,0.74390243902439,0.270491803278689,0.109756097560976
64,115,49,36,128,0.76158940397351,0.701219512195122,0.73015873015873,0.740853658536585,0.201646090534979,0.219512195121951
65,113,51,45,119,0.715189873417722,0.689024390243902,0.701863354037267,0.707317073170732,0.219827586206897,0.274390243902439
66,105,59,21,143,0.833333333333333,0.640243902439024,0.724137931034483,0.75609756097561,0.237903225806452,0.128048780487805
67,131,33,41,123,0.761627906976744,0.798780487804878,0.779761904761905,0.774390243902439,0.12992125984252,0.25
68,130,34,36,128,0.783132530120482,0.792682926829268,0.787878787878788,0.786585365853659,0.131782945736434,0.219512195121951
69,122,42,37,127,0.767295597484277,0.74390243902439,0.755417956656347,0.759146341463415,0.168674698795181,0.225609756097561
70,117,47,39,125,0.75,0.713414634146341,0.73125,0.73780487804878,0.194214876033058,0.23780487804878
71,125,39,40,124,0.757575757575758,0.76219512195122,0.759878419452888,0.759146341463415,0.156626506024096,0.24390243902439
72,104,60,27,137,0.793893129770992,0.634146341463415,0.705084745762712,0.734756097560976,0.24896265560166,0.164634146341463
73,120,44,38,126,0.759493670886076,0.731707317073171,0.745341614906832,0.75,0.178861788617886,0.231707317073171
74,126,38,41,123,0.754491017964072,0.768292682926829,0.761329305135952,0.759146341463415,0.152610441767068,0.25
75,122,42,40,124,0.753086419753086,0.74390243902439,0.748466257668712,0.75,0.170731707317073,0.24390243902439
76,101,63,24,140,0.808,0.615853658536585,0.698961937716263,0.734756097560976,0.261410788381743,0.146341463414634
77,107,57,27,137,0.798507462686567,0.652439024390244,0.718120805369127,0.74390243902439,0.233606557377049,0.164634146341463
78,107,57,27,137,0.798507462686567,0.652439024390244,0.718120805369127,0.74390243902439,0.233606557377049,0.164634146341463
79,104,60,22,142,0.825396825396825,0.634146341463415,0.717241379310345,0.75,0.24390243902439,0.134146341463415
80,130,34,42,122,0.755813953488372,0.792682926829268,0.773809523809524,0.768292682926829,0.134920634920635,0.25609756097561
81,125,39,31,133,0.801282051282051,0.76219512195122,0.78125,0.786585365853659,0.151162790697674,0.189024390243902
82,100,64,21,143,0.826446280991736,0.609756097560976,0.701754385964912,0.740853658536585,0.263374485596708,0.128048780487805
83,137,27,54,110,0.717277486910995,0.835365853658537,0.771830985915493,0.753048780487805,0.109311740890688,0.329268292682927
84,129,35,52,112,0.712707182320442,0.786585365853659,0.747826086956522,0.734756097560976,0.145228215767635,0.317073170731707
85,126,38,37,127,0.773006134969325,0.768292682926829,0.770642201834862,0.771341463414634,0.150197628458498,0.225609756097561
86,88,76,33,131,0.727272727272727,0.536585365853659,0.617543859649123,0.667682926829268,0.34703196347032,0.201219512195122
87,132,32,43,121,0.754285714285714,0.804878048780488,0.778761061946903,0.771341463414634,0.126482213438735,0.26219512195122
88,136,28,62,102,0.686868686868687,0.829268292682927,0.751381215469613,0.725609756097561,0.117647058823529,0.378048780487805
89,130,34,56,108,0.698924731182796,0.792682926829268,0.742857142857143,0.725609756097561,0.142857142857143,0.341463414634146
90,101,63,25,139,0.801587301587302,0.615853658536585,0.696551724137931,0.731707317073171,0.2625,0.152439024390244
91,130,34,43,121,0.751445086705202,0.792682926829268,0.771513353115727,0.765243902439024,0.135458167330677,0.26219512195122
92,114,50,30,134,0.791666666666667,0.695121951219512,0.74025974025974,0.75609756097561,0.201612903225806,0.182926829268293
93,113,51,36,128,0.758389261744966,0.689024390243902,0.722044728434505,0.734756097560976,0.211618257261411,0.219512195121951
94,108,56,33,131,0.765957446808511,0.658536585365854,0.708196721311475,0.728658536585366,0.234309623430962,0.201219512195122
95,116,48,34,130,0.773333333333333,0.707317073170732,0.738853503184713,0.75,0.195121951219512,0.207317073170732
96,106,58,19,145,0.848,0.646341463414634,0.73356401384083,0.765243902439024,0.231075697211155,0.115853658536585
97,98,66,32,132,0.753846153846154,0.597560975609756,0.666666666666667,0.701219512195122,0.28695652173913,0.195121951219512
98,120,44,48,116,0.714285714285714,0.731707317073171,0.72289156626506,0.719512195121951,0.186440677966102,0.292682926829268
99,125,39,41,123,0.753012048192771,0.76219512195122,0.757575757575758,0.75609756097561,0.157258064516129,0.25
100,131,33,50,114,0.723756906077348,0.798780487804878,0.759420289855072,0.746951219512195,0.13469387755102,0.304878048780488
