"","Method","Accuracy"
"308","Neural Network",0.728658536585366
"309","Neural Network",0.75
"310","Neural Network",0.780487804878049
"311","Neural Network",0.734756097560976
"312","Neural Network",0.786585365853659
"313","Neural Network",0.75
"314","Neural Network",0.731707317073171
"315","Neural Network",0.713414634146341
"316","Neural Network",0.789634146341463
"317","Neural Network",0.75
"318","Neural Network",0.753048780487805
"319","Neural Network",0.75
"320","Neural Network",0.725609756097561
"321","Neural Network",0.789634146341463
"322","Neural Network",0.753048780487805
"323","Neural Network",0.725609756097561
"324","Neural Network",0.765243902439024
"325","Neural Network",0.73780487804878
"326","Neural Network",0.75609756097561
"327","Neural Network",0.713414634146341
"328","Neural Network",0.704268292682927
"329","Neural Network",0.774390243902439
"330","Neural Network",0.746951219512195
"331","Neural Network",0.728658536585366
"332","Neural Network",0.734756097560976
"333","Neural Network",0.73780487804878
"334","Neural Network",0.716463414634146
"335","Neural Network",0.771341463414634
"336","Neural Network",0.722560975609756
"337","Neural Network",0.740853658536585
"338","Neural Network",0.725609756097561
"339","Neural Network",0.798780487804878
"340","Neural Network",0.746951219512195
"341","Neural Network",0.75609756097561
"342","Neural Network",0.75609756097561
"343","Neural Network",0.759146341463415
"344","Neural Network",0.76219512195122
"345","Neural Network",0.728658536585366
"346","Neural Network",0.719512195121951
"347","Neural Network",0.716463414634146
"348","Neural Network",0.73780487804878
"349","Neural Network",0.798780487804878
"350","Neural Network",0.734756097560976
"351","Neural Network",0.780487804878049
"352","Neural Network",0.753048780487805
"353","Neural Network",0.792682926829268
"354","Neural Network",0.74390243902439
"355","Neural Network",0.725609756097561
"356","Neural Network",0.75
"357","Neural Network",0.753048780487805
"358","Neural Network",0.753048780487805
"359","Neural Network",0.75609756097561
"360","Neural Network",0.734756097560976
"361","Neural Network",0.786585365853659
"362","Neural Network",0.740853658536585
"363","Neural Network",0.771341463414634
"364","Neural Network",0.768292682926829
"365","Neural Network",0.73780487804878
"366","Neural Network",0.759146341463415
"367","Neural Network",0.780487804878049
"368","Neural Network",0.725609756097561
"369","Neural Network",0.722560975609756
"370","Neural Network",0.768292682926829
"371","Neural Network",0.725609756097561
"372","Neural Network",0.75
"373","Neural Network",0.725609756097561
"374","Neural Network",0.771341463414634
"375","Neural Network",0.740853658536585
"376","Neural Network",0.734756097560976
"377","Neural Network",0.768292682926829
"378","Neural Network",0.731707317073171
"379","Neural Network",0.765243902439024
"380","Neural Network",0.771341463414634
"381","Neural Network",0.753048780487805
"382","Neural Network",0.740853658536585
"383","Neural Network",0.774390243902439
"384","Neural Network",0.75
"385","Neural Network",0.746951219512195
"386","Neural Network",0.774390243902439
"387","Neural Network",0.746951219512195
"388","Neural Network",0.765243902439024
"389","Neural Network",0.76219512195122
"390","Neural Network",0.777439024390244
"391","Neural Network",0.75609756097561
"392","Neural Network",0.780487804878049
"393","Neural Network",0.768292682926829
"394","Neural Network",0.771341463414634
"395","Neural Network",0.780487804878049
"396","Neural Network",0.768292682926829
"397","Neural Network",0.75609756097561
"398","Neural Network",0.765243902439024
"399","Neural Network",0.795731707317073
"400","Neural Network",0.734756097560976
"401","Neural Network",0.759146341463415
"402","Neural Network",0.771341463414634
"403","Neural Network",0.76219512195122
"404","Neural Network",0.728658536585366
"405","Neural Network",0.740853658536585
"406","Neural Network",0.74390243902439
"407","Neural Network",0.740853658536585
"408","Neural Network",0.789634146341463
"409","Neural Network",0.74390243902439
"410","Neural Network",0.76219512195122
"411","Neural Network",0.719512195121951
"412","Neural Network",0.777439024390244
"413","Neural Network",0.722560975609756
"414","Neural Network",0.74390243902439
"415","Neural Network",0.710365853658537
"416","Neural Network",0.73780487804878
"417","Neural Network",0.765243902439024
"418","Neural Network",0.771341463414634
"419","Neural Network",0.74390243902439
"420","Neural Network",0.75
"421","Neural Network",0.707317073170732
"422","Neural Network",0.789634146341463
"423","Neural Network",0.810975609756098
"424","Neural Network",0.746951219512195
"425","Neural Network",0.75609756097561
"426","Neural Network",0.707317073170732
"427","Neural Network",0.74390243902439
"428","Neural Network",0.734756097560976
"429","Neural Network",0.746951219512195
"430","Neural Network",0.728658536585366
"431","Neural Network",0.771341463414634
"432","Neural Network",0.719512195121951
"433","Neural Network",0.74390243902439
"434","Neural Network",0.759146341463415
"435","Neural Network",0.728658536585366
"436","Neural Network",0.801829268292683
"437","Neural Network",0.73780487804878
"438","Neural Network",0.731707317073171
"439","Neural Network",0.73780487804878
"440","Neural Network",0.75609756097561
"441","Neural Network",0.771341463414634
"442","Neural Network",0.685975609756098
"443","Neural Network",0.75609756097561
"444","Neural Network",0.765243902439024
"445","Neural Network",0.704268292682927
"446","Neural Network",0.734756097560976
"447","Neural Network",0.753048780487805
"448","Neural Network",0.722560975609756
"449","Neural Network",0.771341463414634
"450","Neural Network",0.771341463414634
"451","Neural Network",0.801829268292683
"452","Neural Network",0.74390243902439
"453","Neural Network",0.76219512195122
"454","Neural Network",0.734756097560976
"455","Neural Network",0.777439024390244
"456","Neural Network",0.719512195121951
"457","Neural Network",0.716463414634146
"458","Neural Network",0.740853658536585
"459","Neural Network",0.74390243902439
"460","Neural Network",0.768292682926829
"461","Neural Network",0.725609756097561
"462","Neural Network",0.783536585365854
"463","Neural Network",0.76219512195122
"464","Neural Network",0.75609756097561
"465","Neural Network",0.753048780487805
"466","Neural Network",0.777439024390244
"467","Neural Network",0.75
"468","Neural Network",0.759146341463415
"469","Neural Network",0.765243902439024
"470","Neural Network",0.740853658536585
"471","Neural Network",0.746951219512195
"472","Neural Network",0.768292682926829
"473","Neural Network",0.771341463414634
"474","Neural Network",0.5
"475","Neural Network",0.685975609756098
"476","Neural Network",0.780487804878049
"477","Neural Network",0.75
"478","Neural Network",0.810975609756098
"479","Neural Network",0.5
"480","Neural Network",0.707317073170732
"481","Neural Network",0.786585365853659
"482","Neural Network",0.753048780487805
"483","Neural Network",0.774390243902439
"484","Neural Network",0.786585365853659
"485","Neural Network",0.765243902439024
"486","Neural Network",0.810975609756098
"487","Neural Network",0.73780487804878
"488","Neural Network",0.73780487804878
"489","Neural Network",0.728658536585366
"490","Neural Network",0.789634146341463
"491","Neural Network",0.753048780487805
"492","Neural Network",0.740853658536585
"493","Neural Network",0.746951219512195
"494","Neural Network",0.76219512195122
"495","Neural Network",0.719512195121951
"496","Neural Network",0.74390243902439
"497","Neural Network",0.734756097560976
"498","Neural Network",0.719512195121951
"499","Neural Network",0.75
"500","Neural Network",0.75609756097561
"501","Neural Network",0.753048780487805
"502","Neural Network",0.759146341463415
"503","Neural Network",0.75609756097561
"504","Neural Network",0.801829268292683
"505","Neural Network",0.75609756097561
"506","Neural Network",0.75609756097561
"507","Neural Network",0.795731707317073
"508","Neural Network",0.75609756097561
"509","Neural Network",0.716463414634146
"510","Neural Network",0.76219512195122
"511","Neural Network",0.707317073170732
"512","Neural Network",0.75609756097561
"513","Neural Network",0.774390243902439
"514","Neural Network",0.771341463414634
"515","Neural Network",0.725609756097561
"516","Neural Network",0.774390243902439
"517","Neural Network",0.768292682926829
"518","Neural Network",0.765243902439024
"519","Neural Network",0.722560975609756
"520","Neural Network",0.713414634146341
"521","Neural Network",0.725609756097561
"522","Neural Network",0.753048780487805
"523","Neural Network",0.792682926829268
"524","Neural Network",0.75609756097561
"525","Neural Network",0.740853658536585
"526","Neural Network",0.765243902439024
"527","Neural Network",0.73780487804878
"528","Neural Network",0.771341463414634
"529","Neural Network",0.768292682926829
"530","Neural Network",0.765243902439024
"531","Neural Network",0.768292682926829
"532","Neural Network",0.759146341463415
"533","Neural Network",0.777439024390244
"534","Neural Network",0.740853658536585
"535","Neural Network",0.753048780487805
"536","Neural Network",0.710365853658537
"537","Neural Network",0.768292682926829
"538","Neural Network",0.759146341463415
"539","Neural Network",0.774390243902439
"540","Neural Network",0.780487804878049
"541","Neural Network",0.734756097560976
"542","Neural Network",0.777439024390244
"543","Neural Network",0.740853658536585
"544","Neural Network",0.73780487804878
"545","Neural Network",0.740853658536585
"546","Neural Network",0.740853658536585
"547","Neural Network",0.719512195121951
"548","Neural Network",0.786585365853659
"549","Neural Network",0.783536585365854
"550","Neural Network",0.771341463414634
"551","Neural Network",0.759146341463415
"552","Neural Network",0.734756097560976
"553","Neural Network",0.74390243902439
"554","Neural Network",0.807926829268293
"555","Neural Network",0.746951219512195
"556","Neural Network",0.76219512195122
"557","Neural Network",0.722560975609756
"558","Neural Network",0.771341463414634
"559","Neural Network",0.774390243902439
"560","Neural Network",0.765243902439024
"561","Neural Network",0.695121951219512
"562","Neural Network",0.73780487804878
"563","Neural Network",0.768292682926829
"564","Neural Network",0.734756097560976
"565","Neural Network",0.734756097560976
"566","Neural Network",0.759146341463415
"567","Neural Network",0.76219512195122
"568","Neural Network",0.74390243902439
"569","Neural Network",0.765243902439024
"570","Neural Network",0.746951219512195
"571","Neural Network",0.753048780487805
"572","Neural Network",0.74390243902439
"573","Neural Network",0.731707317073171
"574","Neural Network",0.771341463414634
"575","Neural Network",0.768292682926829
"576","Neural Network",0.798780487804878
"577","Neural Network",0.768292682926829
"578","Neural Network",0.765243902439024
"579","Neural Network",0.74390243902439
"580","Neural Network",0.765243902439024
"581","Neural Network",0.768292682926829
